#time (ps)	H2O
12.125	-4.33172989690722E-6
12.1	-2.90010206185567E-5
12.075	-1.25349147766323E-5
12.05	-1.26213828178694E-4
12.025	-1.35820872852234E-5
12	-5.45084219931271E-5
11.975	-9.83132096219931E-6
11.95	5.41371903780069E-5
11.925	4.19661828178694E-5
11.9	-5.0551218556701E-5
11.875	-7.04662474226804E-6
11.85	-7.95557731958763E-5
11.825	5.26972687285223E-5
11.8	-3.93078350515464E-6
11.775	-2.09430302405498E-5
11.75	-2.2494793814433E-5
11.725	3.93341986254296E-5
11.7	9.37501305841924E-5
11.675	4.79248274914089E-5
11.65	-1.63252199312715E-5
11.625	3.44515388316151E-5
11.6	-1.73675786941581E-5
11.575	-3.08987257731959E-5
11.55	5.8491676975945E-6
11.525	1.0812864604811E-5
11.5	-3.58241216494845E-5
11.475	-2.22700969072165E-4
11.45	4.50757855670103E-5
11.425	1.54724762886598E-5
11.4	1.40953010309278E-4
11.375	-9.04647285223368E-5
11.35	7.04529209621993E-5
11.325	-4.80287972508591E-7
11.3	-2.77303326460481E-5
11.275	1.53359140893471E-4
11.25	5.85255883161512E-5
11.225	-6.00770343642612E-5
11.2	2.43375237113402E-5
11.175	-2.71152714776632E-5
11.15	-4.93797518900344E-5
11.125	3.54746701030928E-5
11.1	-1.47029670103093E-4
11.075	4.68055051546392E-5
11.05	7.76626735395189E-5
11.025	-4.02980219931271E-5
11	6.32141298969072E-5
10.975	6.3893981443299E-5
10.95	-1.05496962199313E-4
10.925	-9.82947697594502E-5
10.9	5.8868929209622E-5
10.875	-1.00687649484536E-4
10.85	-8.88559037800687E-5
10.825	-9.20269140893471E-5
10.8	-9.58137319587629E-5
10.775	-4.95173835051546E-5
10.75	-1.3942689347079E-5
10.725	2.01227285223368E-5
10.7	1.06587457044674E-4
10.675	-5.27106975945017E-5
10.65	1.45871560137457E-4
10.625	-2.20671470790378E-5
10.6	1.66312611683849E-5
10.575	-2.83391065292096E-7
10.55	-1.45829216494845E-5
10.525	1.79075621993127E-4
10.5	5.35176735395189E-5
10.475	-1.12996975945017E-4
10.45	4.9429264604811E-5
10.425	4.87695972508591E-5
10.4	5.04137099656357E-5
10.375	1.06544419243986E-4
10.35	1.30686810996564E-4
10.325	-1.17599656357388E-4
10.3	6.59894694158076E-5
10.275	1.09531704467354E-5
10.25	4.6325910652921E-7
10.225	3.71108089347079E-5
10.2	-1.21646453608247E-4
10.175	5.89268673539519E-5
10.15	1.236204604811E-5
10.125	8.4558735395189E-5
10.1	5.07157388316151E-6
10.075	8.6090941580756E-5
10.05	3.81941628865979E-5
10.025	-1.34123237113402E-4
10	-5.03478542955326E-5
9.975	-5.39525402061856E-5
9.95	-1.44513828178694E-5
9.925	4.72834508591065E-5
9.9	-2.54951182130584E-5
9.875	2.66713312714777E-5
9.85	7.63559931271478E-5
9.825	-8.5610206185567E-5
9.8	-2.86073298969072E-5
9.775	-3.14951773195876E-5
9.75	9.51207560137457E-5
9.725	2.04624632302405E-5
9.7	-7.49167903780069E-5
9.675	2.18654467353952E-4
9.65	-1.8656747766323E-5
9.625	4.89591855670103E-5
9.6	4.11634343642612E-5
9.575	-1.20289278350515E-7
9.55	1.39016604810997E-4
9.525	-4.27894529209622E-5
9.5	-9.96649278350515E-5
9.475	1.09705642611684E-4
9.45	1.29951161512027E-5
9.425	1.06237855670103E-4
9.4	1.37539697594502E-4
9.375	3.2079341580756E-5
9.35	-4.32298103092784E-5
9.325	4.21627546391753E-5
9.3	-2.90982879725086E-5
9.275	7.09341374570447E-5
9.25	-7.23695120274914E-5
9.225	3.05158343642612E-5
9.2	-1.4814452233677E-4
9.175	-6.88322749140894E-6
9.15	-1.43225367697595E-4
9.125	-8.60596082474227E-5
9.1	-7.61976288659794E-5
9.075	7.41899450171821E-6
9.05	1.61721525773196E-4
9.025	1.14018556701031E-4
9	-4.75176213058419E-6
8.975	2.45166577319588E-4
8.95	2.54049175257732E-4
8.925	1.69304281786942E-4
8.9	2.92903037800687E-4
8.875	2.92595257731959E-4
8.85	3.18706034364261E-4
8.825	1.8601818556701E-4
8.8	2.3169116838488E-4
8.775	5.97153470790378E-5
8.75	-3.4057723024055E-5
8.725	-1.44534728522337E-5
8.7	-2.33811422680412E-4
8.675	-1.11020233676976E-4
8.65	-1.30156192439863E-4
8.625	-2.2929283161512E-4
8.6	-9.77593745704467E-5
8.575	-7.92224810996564E-5
8.55	-1.33446405498282E-4
8.525	-1.20717072164948E-4
8.5	-1.37540316151203E-4
8.475	-2.24274749140893E-5
8.45	-7.64727972508591E-6
8.425	-5.03474982817869E-5
8.4	-5.42215986254296E-5
8.375	-1.35139683848797E-4
8.35	-1.43840591065292E-4
8.325	-5.87174426116839E-5
8.3	2.3194710652921E-5
8.275	7.38594432989691E-5
8.25	-1.13465518900344E-4
8.225	7.23586597938144E-5
8.2	-4.98906975945017E-5
8.175	1.67513532646048E-5
8.15	2.71583518900344E-5
8.125	-1.0945870790378E-4
8.1	-1.34226274914089E-4
8.075	8.34666323024055E-5
8.05	6.85189910652921E-5
8.025	7.96332027491409E-5
8	6.42491395189003E-5
7.975	2.15991786941581E-6
7.95	2.38594405498282E-4
7.925	-1.93415491408935E-5
7.9	4.11012226804124E-6
7.875	3.36119670103093E-5
7.85	5.29474879725086E-5
7.825	1.11744865979381E-4
7.8	1.6358735395189E-5
7.775	1.07282570446735E-4
7.75	4.76242336769759E-6
7.725	1.52304130584192E-4
7.7	-9.15003986254295E-6
7.675	4.53476797250859E-5
7.65	5.39835443298969E-5
7.625	2.20709546391753E-5
7.6	-1.37660879725086E-4
7.575	1.97681140893471E-5
7.55	1.05425285223368E-4
7.525	6.90494639175258E-5
7.5	-5.78363202749141E-5
7.475	4.27225683848797E-5
7.45	-4.01405360824742E-5
7.425	8.1035766323024E-6
7.4	2.48535298969072E-5
7.375	-1.17477615120275E-4
7.35	1.86242268041237E-5
7.325	6.24147312714776E-5
7.3	1.7208670790378E-5
7.275	-2.02372515463918E-5
7.25	-1.17595786941581E-6
7.225	-4.35352817869416E-5
7.2	-8.71289690721649E-5
7.175	1.58680776632302E-4
7.15	6.4283652233677E-5
7.125	-8.50990378006873E-5
7.1	4.10928378006873E-5
7.075	1.8743135395189E-5
7.05	-5.08539890034364E-5
7.025	1.10150948453608E-4
7	9.61799381443299E-5
6.975	-5.00769807560137E-5
6.95	-1.16287450171821E-5
6.925	-8.20059381443299E-5
6.9	4.24752865979381E-5
6.875	-1.68345532646048E-5
6.85	8.35435807560137E-5
6.825	4.51758776632302E-6
6.8	-9.18263024054983E-6
6.775	1.31823683848797E-4
6.75	1.18836865979381E-4
6.725	5.56926604810997E-5
6.7	2.01248109965636E-4
6.675	4.62351800687285E-5
6.65	1.67243553264605E-4
6.625	8.88429896907216E-5
6.6	1.63157209621993E-4
6.575	6.95807010309278E-5
6.55	-9.82948384879725E-6
6.525	2.73438384879725E-5
6.5	-3.92800914089347E-5
6.475	-5.04009278350515E-5
6.45	-3.74063010309278E-5
6.425	9.3540501718213E-7
6.4	-2.54184206185567E-5
6.375	5.23858288659794E-5
6.35	1.2706916838488E-5
6.325	4.45482790378007E-5
6.3	3.86968597938144E-5
6.275	-2.06164178694158E-5
6.25	1.54105120274914E-5
6.225	-4.52956838487972E-6
6.2	-6.96930515463918E-6
6.175	-4.10303470790378E-5
6.15	1.33807738831615E-5
6.125	-1.19115319587629E-4
6.1	9.66071408934708E-5
6.075	5.72766838487973E-5
6.05	5.18933044673539E-5
6.025	-1.52845773195876E-5
6	9.18853058419244E-5
5.975	-7.8824529209622E-5
5.95	3.29900261168385E-5
5.925	5.39372316151203E-5
5.9	8.12129553264605E-5
5.875	-7.08687010309278E-5
5.85	-4.22438350515464E-5
5.825	7.18937457044673E-5
5.8	-1.28593910652921E-5
5.775	7.85991546391753E-5
5.75	-4.71319924398625E-5
5.725	1.57705243986254E-4
5.7	1.6983723024055E-5
5.675	5.83563573883161E-5
5.65	1.81950295532646E-4
5.625	-4.24000920962199E-5
5.6	1.8793160137457E-5
5.575	-7.64857525773196E-5
5.55	1.20583099656357E-4
5.525	9.5080824742268E-5
5.5	-9.17809072164948E-5
5.475	1.15594240549828E-5
5.45	1.12918316151203E-4
5.425	2.95040054982818E-5
5.4	-6.33160756013746E-6
5.375	-5.80476323024055E-5
5.35	-4.22014597938144E-5
5.325	-7.69635326460481E-5
5.3	5.51135683848797E-5
5.275	1.45418164948454E-4
5.25	6.82790845360825E-6
5.225	5.11593065292096E-5
5.2	4.42556508591065E-5
5.175	7.57210721649485E-5
5.15	2.43589951890034E-5
5.125	1.12249841924399E-4
5.1	6.09619965635739E-5
5.075	1.19756625429553E-4
5.05	4.61608728522337E-5
5.025	1.13282082474227E-6
5	9.32112989690722E-5
4.975	5.12155457044673E-5
4.95	1.22953127147766E-4
4.925	8.0241910652921E-5
4.9	-3.79833903780069E-5
4.875	-1.09750171821306E-5
4.85	-1.43841560137457E-4
4.825	-1.53256549828179E-4
4.8	-5.40206879725086E-5
4.775	-3.46505786941581E-4
4.75	-1.66053429553265E-4
4.725	-2.41957766323024E-4
4.7	-3.40732900343643E-4
4.675	-2.76139649484536E-4
4.65	-3.16602749140893E-4
4.625	-2.15421182130584E-4
4.6	-1.17186006872852E-4
4.575	-1.07205883161512E-5
4.55	-4.85101532646048E-5
4.525	1.84346329896907E-4
4.5	2.63313463917526E-4
4.475	4.17135903780069E-5
4.45	2.95999628865979E-4
4.425	4.96739800687285E-5
4.4	1.69066542955326E-4
4.375	1.39492103092784E-4
4.35	2.37723841924399E-4
4.325	1.39670357388316E-4
4.3	1.31245058419244E-4
4.275	-3.15376371134021E-5
4.25	8.23843298969072E-6
4.225	5.00556941580756E-6
4.2	-1.98657828178694E-5
4.175	5.85645835051546E-5
4.15	-1.27507457044674E-4
4.125	1.58739402061856E-4
4.1	-1.96625305841924E-5
4.075	-2.88789003436426E-5
4.05	2.78531841924399E-5
4.025	1.26804515463918E-4
4	6.60692432989691E-5
3.975	2.0671430927835E-5
3.95	-9.89476632302405E-6
3.925	-9.38451546391753E-5
3.9	-1.07532316151203E-4
3.875	-5.5354870790378E-5
3.85	-3.58324082474227E-5
3.825	-3.10535883161512E-5
3.8	-2.97579312714777E-5
3.775	-3.31839216494845E-5
3.75	-4.99178164948454E-5
3.725	-7.5400852233677E-5
3.7	-8.5345058419244E-5
3.675	-1.27065202749141E-4
3.65	2.6605710652921E-5
3.625	-9.85790446735395E-5
3.6	7.24861237113402E-7
3.575	-7.14365223367698E-5
3.55	-4.54020343642612E-5
3.525	4.72661340206186E-6
3.5	4.51253649484536E-5
3.475	-5.0340489347079E-5
3.45	-1.20185725085911E-4
3.425	-2.07880446735395E-4
3.4	-8.38445773195876E-5
3.375	-1.36816962199313E-4
3.35	-1.15420274914089E-4
3.325	-2.04919807560137E-4
3.3	1.4466575257732E-5
3.275	1.8352612371134E-5
3.25	-8.6307058419244E-5
3.225	-3.7612258419244E-6
3.2	-1.32080687285223E-4
3.175	-7.22159587628866E-5
3.15	-1.34041264604811E-4
3.125	-1.89519484536082E-4
3.1	-1.98654068728522E-4
3.075	-1.16385216494845E-4
3.05	-1.11240068728522E-4
3.025	-1.86623450171821E-4
3	-1.37114735395189E-4
2.975	-1.01369594501718E-4
2.95	-1.47102109965636E-4
2.925	-1.83560405498282E-4
2.9	-1.61913546391753E-4
2.875	-2.75497608247423E-4
2.85	-1.33789580756014E-4
2.825	-9.80251958762886E-5
2.8	-1.35473182130584E-4
2.775	-1.83169958762887E-4
2.75	-1.89548529209622E-4
2.725	-6.18432487972509E-5
2.7	-2.15608756013746E-4
2.675	-1.41724783505155E-4
2.65	-7.13253470790378E-5
2.625	-3.89698941580756E-5
2.6	-3.2761375257732E-4
2.575	-2.97388199312715E-4
2.55	-3.38764020618557E-4
2.525	-2.17912343642612E-4
2.5	-3.06246240549828E-4
2.475	-2.35860549828179E-4
2.45	-4.11043931271478E-4
2.425	-3.45195690721649E-4
2.4	-4.80913780068729E-4
2.375	-3.77846302405498E-4
2.35	-3.82716281786942E-4
2.325	-4.51582817869416E-4
2.3	-3.71353140893471E-4
2.275	-4.14605250859107E-4
2.25	-4.54808556701031E-4
2.225	-4.58167195876289E-4
2.2	-3.82234426116839E-4
2.175	-3.29948391752577E-4
2.15	-4.27213553264605E-4
2.125	-5.08744701030928E-4
2.1	-3.76040797250859E-4
2.075	-3.8170458419244E-4
2.05	-4.93698274914089E-4
2.025	-4.98012240549828E-4
2	-4.07082907216495E-4
1.975	-5.42273154639175E-4
1.95	-5.19812549828179E-4
1.925	-5.88852288659794E-4
1.9	-5.60244597938144E-4
1.875	-4.73604611683849E-4
1.85	-6.32880776632302E-4
1.825	-5.6222910652921E-4
1.8	-6.24668838487972E-4
1.775	-5.71584865979381E-4
1.75	-7.14638350515464E-4
1.725	-7.3011381443299E-4
1.7	-6.17846343642612E-4
1.675	-7.46890171821306E-4
1.65	-7.85660549828179E-4
1.625	-9.16575189003436E-4
1.6	-9.02685704467354E-4
1.575	-0.00103287457044674
1.55	-0.00110146549828179
1.525	-0.0010605252233677
1.5	-0.00101227972508591
1.475	-0.00119210158075601
1.45	-0.00117669869415808
1.425	-0.00121860233676976
1.4	-0.00140440907216495
1.375	-0.00143666192439863
1.35	-0.0015008947766323
1.325	-0.00153235855670103
1.3	-0.00157132405498282
1.275	-0.00157546206185567
1.25	-0.00176144130584192
1.225	-0.00175835326460481
1.2	-0.00196629402061856
1.175	-0.00190831312714777
1.15	-0.00196503189003436
1.125	-0.00217459395189003
1.1	-0.00225264536082474
1.075	-0.00224348103092783
1.05	-0.0024950870790378
1.025	-0.00264151993127148
1	-0.00276876103092783
0.975	-0.00303704886597938
0.95	-0.00309377931271478
0.925	-0.00338955931271478
0.9	-0.00350465951890034
0.875	-0.00378509786941581
0.85	-0.00400455958762887
0.825	-0.00428604879725086
0.8	-0.00453486178694158
0.775	-0.00466132213058419
0.75	-0.00490416529209622
0.725	-0.00499391704467354
0.7	-0.00508420556701031
0.675	-0.00498801642611684
0.65	-0.00496225759450172
0.625	-0.00490838597938144
0.6	-0.00468202776632302
0.575	-0.00433526474226804
0.55	-0.00401491958762887
0.525	-0.00351621910652921
0.5	-0.00266116336769759
