time (ps)	Na2CO3 / 0.25M	time (ps)	Na2CO3 / 0.1M
-1.31	-2.30514859857143E-4	10.85	1.89509403828571E-4
-1.285	-2.44997442514286E-4	10.825	2.05974656571429E-4
-1.26	-2.07925466828571E-4	10.8	1.77716688885714E-4
-1.235	-2.46701789657143E-4	10.775	1.02455155114286E-4
-1.21	-4.40338123285714E-4	10.75	1.64208907714286E-5
-1.185	-5.12529692857143E-4	10.725	-2.51813838428571E-5
-1.16	-4.26822526857143E-4	10.7	-6.55852794857143E-6
-1.135	-4.02510441085714E-4	10.675	1.59794555685714E-5
-1.11	-2.93520316685714E-4	10.65	7.99762165942857E-5
-1.085	-1.90359117085714E-4	10.625	9.08450194714286E-5
-1.06	-1.81456019314286E-4	10.6	9.61180429142857E-5
-1.035	-2.47175089942857E-4	10.575	7.22769145714286E-5
-1.01	-1.84644503885714E-4	10.55	5.81016386571429E-5
-0.985	-2.52640993714286E-4	10.525	4.4265486E-6
-0.96	-1.60160804857143E-4	10.5	7.56517525714286E-6
-0.935	-9.29300034285714E-5	10.475	1.93567895714286E-5
-0.91	-7.21049322857143E-5	10.45	9.27157926857143E-5
-0.885	3.30818754285714E-5	10.425	1.34415390514286E-4
-0.86	1.96533158571429E-4	10.4	2.10173477228571E-4
-0.835	1.32372287428571E-4	10.375	2.52768272971429E-4
-0.81	4.16894577142857E-5	10.35	2.37226241514286E-4
-0.785	-1.18333585428571E-4	10.325	2.03086745771429E-4
-0.76	-3.25220553571429E-4	10.3	1.75141028885714E-4
-0.735	-3.75140706057143E-4	10.275	7.50440281714286E-5
-0.71	-1.61264462028571E-4	10.25	1.80684666285714E-5
-0.685	-7.23790020571429E-5	10.225	-3.1297478E-5
-0.66	-9.1217493E-5	10.2	-5.90470084857143E-5
-0.635	4.327062E-5	10.175	-8.50546471428571E-5
-0.61	6.99084002857143E-5	10.15	-8.21331848E-5
-0.585	6.21768802857143E-5	10.125	-8.81120241714286E-5
-0.56	2.65202770571429E-4	10.1	-4.86289061142857E-5
-0.535	3.16458488857143E-4	10.075	-2.11217374285714E-5
-0.51	2.07129632285714E-4	10.05	5.44885925714286E-6
-0.485	2.97280346571429E-4	10.025	2.42647380571429E-5
-0.46	8.26625728571429E-5	10	2.90001998285714E-5
-0.435	-1.78493053714286E-4	9.975	2.65016710285714E-5
-0.41	-3.1553744E-4	9.95	4.06893838857143E-5
-0.385	-3.68300471428571E-4	9.925	4.73953029428571E-5
-0.36	-4.70247819142857E-4	9.9	4.90900791428571E-5
-0.335	-4.33601178857143E-4	9.875	3.96233150571429E-5
-0.31	-3.80102934571428E-4	9.85	4.08802924857143E-5
-0.285	-3.89487681714286E-4	9.825	6.7292561E-5
-0.26	-5.17491478571428E-4	9.8	1.00433857142857E-4
-0.235	-5.68934120857143E-4	9.775	8.19587408571429E-5
