#time (ps)	MgSO4 /1M	time (ps)	MgSO4 /2M
6.35	-1.62929567010309E-4	3.61344537815126	-2.17365979381443E-4
6.325	-1.80554872852234E-4	3.59943977591036	-1.69427979381443E-5
6.3	-1.37032426116839E-4	3.58543417366947	-1.87248824742268E-4
6.275	-1.55457738831615E-4	3.57142857142857	-6.45761587628866E-5
6.25	4.58922171821306E-5	3.55742296918767	-2.12666378006873E-4
6.225	-1.76306934707904E-5	3.54341736694678	-1.79705738831615E-4
6.2	5.47412487972509E-5	3.52941176470588	-1.1139458419244E-4
6.175	-1.66683374570447E-4	3.51540616246499	-2.30643567010309E-4
6.15	6.67992151202749E-5	3.50140056022409	-3.01248481099656E-5
6.125	-3.88322865979381E-5	3.48739495798319	-1.38389635738832E-4
6.1	-1.08431656357388E-5	3.4733893557423	-5.76729862542955E-5
6.075	3.49074680412371E-5	3.4593837535014	-1.40581759450172E-4
6.05	-1.20727470790378E-4	3.4453781512605	-3.03760639175258E-4
6.025	-7.74531202749141E-5	3.43137254901961	-2.76952577319588E-4
6	-3.43822144329897E-5	3.41736694677871	-2.16508089347079E-4
5.975	-2.89814109965636E-5	3.40336134453782	-1.50963945017182E-4
5.95	-5.62596467353952E-6	3.38935574229692	-3.34768941580756E-4
5.925	-1.54473278350515E-4	3.37535014005602	-1.41461910652921E-4
5.9	-4.99844941580756E-5	3.36134453781513	-2.81961065292096E-4
5.875	-5.02008735395189E-5	3.34733893557423	-6.13598756013746E-5
5.85	-6.64055663230241E-5	3.33333333333333	-2.58988927835052E-4
5.825	-9.47692577319588E-6	3.31932773109244	-1.23729319587629E-4
5.8	8.50998281786942E-5	3.30532212885154	-1.95575553264605E-4
5.775	-2.33072563573883E-4	3.29131652661064	-2.48677450171821E-4
5.75	-3.20841347079038E-5	3.27731092436975	-1.88568357388316E-4
5.725	-2.93706144329897E-5	3.26330532212885	-2.41051017182131E-4
5.7	4.66549333333333E-5	3.24929971988795	-1.74247766323024E-4
5.675	1.44708563573883E-5	3.23529411764706	-2.47076817869416E-4
5.65	-1.06698783505155E-4	3.22128851540616	-1.83331986254296E-4
5.625	-1.12352962199313E-4	3.20728291316527	-1.09833202749141E-4
5.6	-1.2498239862543E-4	3.19327731092437	-1.87122735395189E-4
5.575	-1.13675759450172E-4	3.17927170868347	-2.77730481099656E-4
5.55	-1.86923745704467E-4	3.16526610644258	-2.21916233676976E-4
5.525	-9.09146941580756E-5	3.15126050420168	-1.11216762886598E-4
5.5	-4.06925841924399E-5	3.13725490196078	-1.90179835051546E-4
5.475	-6.25969347079038E-5	3.12324929971989	-1.61957340206186E-4
5.45	-9.60188109965636E-5	3.10924369747899	-3.46827628865979E-4
5.425	-2.17205635738832E-4	3.0952380952381	-1.62027127147766E-4
5.4	-9.75354158075601E-5	3.0812324929972	-1.71721463917526E-4
5.375	-8.13249896907217E-5	3.0672268907563	-2.07784879725086E-4
5.35	3.16600089347079E-5	3.05322128851541	-1.8785310652921E-4
5.325	4.68683759450172E-5	3.03921568627451	-1.84623051546392E-4
5.3	-4.03754948453608E-5	3.02521008403361	-2.58602618556701E-4
5.275	-8.2809058419244E-5	3.01120448179272	-2.20390432989691E-4
5.25	-6.29484577319588E-5	2.99719887955182	-2.52057972508591E-4
5.225	-6.50328762886598E-5	2.98319327731092	-3.78802487972509E-4
5.2	-1.67880838487972E-5	2.96918767507003	-2.72116762886598E-4
5.175	-9.85831546391752E-5	2.95518207282913	-2.4862141580756E-4
5.15	-5.84572652920962E-5	2.94117647058824	-2.19223663230241E-4
5.125	-7.66207216494845E-5	2.92717086834734	-8.85214432989691E-5
5.1	1.79800810996564E-5	2.91316526610644	-3.04177986254296E-4
5.075	-9.97215189003436E-5	2.89915966386555	-2.4426270790378E-4
5.05	1.61122756013746E-5	2.88515406162465	-1.09182481099656E-4
5.025	-6.06999773195876E-5	2.87114845938375	-1.70588158075601E-4
5	6.38536178694158E-6	2.85714285714286	-2.62791780068729E-4
4.975	-6.57767216494845E-5	2.84313725490196	-1.60912927835052E-4
4.95	-1.35627457044674E-4	2.82913165266106	-9.69729072164948E-5
4.925	-2.03263140893471E-5	2.81512605042017	-1.54540103092783E-4
