#time (ps)	NaSO4 0.75 M	time (ps)	NaSO4 0.35 M
-0.4	6.47016875714286E-5	-0.25	0.00154938529885714
-0.375	1.17259583714286E-4	-0.225	0.00185664509857143
-0.35	1.49515768428571E-4	-0.2	0.00229482974857143
-0.325	6.26554354285713E-6	-0.175	0.00277737302285714
-0.3	-2.48806292657143E-4	-0.15	0.00341400029714286
-0.275	-5.22165588171428E-4	-0.125	0.00409213440285714
-0.25	-4.94052491857143E-4	-0.1	0.00475123556285714
-0.225	-4.57878660285714E-4	-0.075	0.00526979087142857
-0.2	-2.62550619857143E-4	-0.05	0.00562463923714286
-0.175	1.78657039428572E-5	-0.025	0.00569794497142857
-0.15	3.97278391114286E-4	0	0.00551584702857143
-0.125	9.17262403942857E-4	0.025	0.00502498722857143
-0.1	0.00183373031871429	0.05	0.00430715065714286
-0.075	0.00269023538428571	0.075	0.00340922948
-0.05	0.00339969643142857	0.1	0.00256323248
-0.025	0.00388973970571429	0.125	0.00189922002571429
0	0.00393613729142857	0.15	0.00148700614857143
0.025	0.00367354639142857	0.175	0.00121365257285714
0.05	0.00321213980571429	0.2	0.00102891953857143
0.075	0.00261243612285714	0.225	7.54410395428571E-4
0.1	0.00181619798285714	0.25	3.00725309428571E-4
0.125	0.00108402929228571	0.275	-2.74921010857143E-4
0.15	3.20779779428571E-4	0.3	-9.22264294E-4
0.175	-3.92763938571429E-4	0.325	-0.00163497019571429
0.2	-9.44621504571428E-4	0.35	-0.00226497151428571
0.225	-0.00149787220428571	0.375	-0.00280917852285714
0.25	-0.00211282393142857	0.4	-0.00323889379142857
0.275	-0.00258803358	0.425	-0.00355689816
0.3	-0.00292519672571429	0.45	-0.00377752385142857
0.325	-0.00316257024571429	0.475	-0.00389727283142857
0.35	-0.00314703992857143	0.5	-0.00395576292857143
0.375	-0.00310942669714286	0.525	-0.00393001751714286
0.4	-0.00303178111714286	0.55	-0.00381360463142857
0.425	-0.00281651670571429	0.575	-0.00364131732571429
0.45	-0.00247596153142857	0.6	-0.00347333096571429
0.475	-0.00216467162857143	0.625	-0.00323538860857143
0.5	-0.00197956520571429	0.65	-0.00301434391142857
0.525	-0.00189775130571429	0.675	-0.00279567144
0.55	-0.00191757026	0.7	-0.00251268002857143
0.575	-0.0018972291	0.725	-0.00222287212285714
0.6	-0.00170163543	0.75	-0.0019883373
0.625	-0.00151753254457143	0.775	-0.00173886196
0.65	-0.001347373778	0.8	-0.00151599800571429
0.675	-0.00123815743314286	0.825	-0.00131574022
0.7	-0.00114076204285714	0.85	-0.00110836557657143
0.725	-0.00108309910514286	0.875	-9.93140237714286E-4
0.75	-9.46633366285714E-4	0.9	-9.57083143428571E-4
0.775	-8.95805414857143E-4	0.925	-9.75181789142857E-4
0.8	-7.98360442285714E-4	0.95	-0.00111548340342857
0.825	-6.95086854E-4	0.975	-0.00124831766114286
0.85	-6.01434973142857E-4	1	-0.00126508216285714
0.875	-5.81726604285714E-4	1.025	-0.00127786521828571
0.9	-6.19063194571429E-4	1.05	-0.00122333590628571
0.925	-7.14934501714286E-4	1.075	-0.00113841524971429
0.95	-7.45869018E-4	1.1	-0.00106190186571429
0.975	-7.34999156285714E-4	1.125	-0.00107214942
1	-7.71461461142857E-4	1.15	-0.00104673029714286
1.025	-7.14132312714286E-4	1.175	-0.00104176004
1.05	-7.262199048E-4	1.2	-9.88751035714286E-4
1.075	-9.266487874E-4	1.225	-9.68142896285714E-4
1.1	-0.00112923609794286	1.25	-8.42626802285714E-4
1.125	-0.00127739335071429	1.275	-7.00517682285714E-4
1.15	-0.00151144280285714	1.3	-5.49379018285714E-4
1.175	-0.00154625529142857	1.325	-4.45593401142857E-4
1.2	-0.00130746789571429	1.35	-3.4966957E-4
1.225	-0.00117130086171429	1.375	-3.54857524285714E-4
1.25	-0.00114011213514286	1.4	-4.35929822285714E-4
1.275	-0.00102843374457143	1.425	-5.50659372285714E-4
1.3	-9.77343317142857E-4	1.45	-6.26762927142857E-4
1.325	-9.58013010571428E-4	1.475	-6.72888620285714E-4
1.35	-8.15373905428571E-4	1.5	-6.41995876571429E-4
1.375	-7.81991907142857E-4	1.525	-5.23957840285714E-4
1.4	-8.19688031428571E-4	1.55	-3.94008256E-4
1.425	-8.87246056857143E-4	1.575	-3.63845653714286E-4
1.45	-9.68942024285714E-4	1.6	-3.85387824E-4
1.475	-9.65624657142857E-4	1.625	-4.29347230857143E-4
1.5	-8.43552457142857E-4	1.65	-4.74984263714286E-4
1.525	-8.73539089142857E-4	1.675	-5.05484012857143E-4
1.55	-8.44537608857143E-4	1.7	-4.76942118571429E-4
1.575	-8.48266405142857E-4	1.725	-5.15240854285714E-4
1.6	-8.74844076571428E-4	1.75	-5.72681832571428E-4
1.625	-8.49190429142857E-4	1.775	-5.94005771428571E-4
1.65	-7.14121812285714E-4	1.8	-5.33723056285714E-4
1.675	-7.30694714857143E-4	1.825	-4.75151991714286E-4
1.7	-7.27710998E-4	1.85	-3.92072226285714E-4
1.725	-7.45966525714286E-4	1.875	-3.78285039142857E-4
1.75	-7.12282565142857E-4	1.9	-4.02291270285714E-4
1.775	-7.66351641714286E-4	1.925	-4.35369095714286E-4
1.8	-6.90099208E-4	1.95	-4.53829653714286E-4
1.825	-7.07856407714286E-4	1.975	-4.65892094571429E-4
1.85	-6.74132944571429E-4	2	-4.24577037142857E-4
1.875	-6.30483402571428E-4	2.025	-3.73668055142857E-4
1.9	-5.32826361428571E-4	2.05	-3.44650235428571E-4
1.925	-5.10884672E-4	2.075	-3.13116068285714E-4
1.95	-4.83241756571429E-4	2.1	-2.75135060142857E-4
1.975	-4.92123848857143E-4	2.125	-2.25515694314286E-4
